root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test16/graphs.pt,1,103,17,120,B103C17,Test16
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test29/graphs.pt,1,101,19,120,B101C19,Test29
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test11/graphs.pt,1,99,21,120,B99C21,Test11
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test27/graphs.pt,1,101,19,120,B101C19,Test27
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test18/graphs.pt,1,103,17,120,B103C17,Test18
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test20/graphs.pt,1,103,17,120,B103C17,Test20
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test45/graphs.pt,1,107,13,120,B107C13,Test45
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test42/graphs.pt,1,105,15,120,B105C15,Test42
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test21/graphs.pt,1,97,23,120,B97C23,Test21
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test26/graphs.pt,1,101,19,120,B101C19,Test26
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test19/graphs.pt,1,113,7,120,B113C7,Test19
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test10/graphs.pt,1,99,21,120,B99C21,Test10
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test17/graphs.pt,1,103,17,120,B103C17,Test17
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test28/graphs.pt,1,101,19,120,B101C19,Test28
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test43/graphs.pt,1,107,13,120,B107C13,Test43
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test44/graphs.pt,1,107,13,120,B107C13,Test44
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test9/graphs.pt,1,99,21,120,B99C21,Test9
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test7/graphs.pt,1,99,21,120,B99C21,Test7
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test6/graphs.pt,1,99,21,120,B99C21,Test6
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test1/graphs.pt,1,109,11,120,B109C11,Test1
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test8/graphs.pt,1,99,21,120,B99C21,Test8
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test57/graphs.pt,1,109,11,120,B109C11,Test57
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test68/graphs.pt,1,97,23,120,B97C23,Test68
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test50/graphs.pt,1,111,9,120,B111C9,Test50
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test66/graphs.pt,1,97,23,120,B97C23,Test66
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test59/graphs.pt,1,97,23,120,B97C23,Test59
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test61/graphs.pt,1,97,23,120,B97C23,Test61
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test35/graphs.pt,1,105,15,120,B105C15,Test35
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test32/graphs.pt,1,101,19,120,B101C19,Test32
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test60/graphs.pt,1,97,23,120,B97C23,Test60
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test67/graphs.pt,1,97,23,120,B97C23,Test67
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test58/graphs.pt,1,109,11,120,B109C11,Test58
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test51/graphs.pt,1,111,9,120,B111C9,Test51
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test56/graphs.pt,1,109,11,120,B109C11,Test56
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test69/graphs.pt,1,107,13,120,B107C13,Test69
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test33/graphs.pt,1,101,19,120,B101C19,Test33
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test34/graphs.pt,1,101,19,120,B101C19,Test34
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test70/graphs.pt,1,107,13,120,B107C13,Test70
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test48/graphs.pt,1,111,9,120,B111C9,Test48
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test41/graphs.pt,1,105,15,120,B105C15,Test41
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test46/graphs.pt,1,111,9,120,B111C9,Test46
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test12/graphs.pt,1,99,21,120,B99C21,Test12
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test15/graphs.pt,1,103,17,120,B103C17,Test15
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test23/graphs.pt,1,97,23,120,B97C23,Test23
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test24/graphs.pt,1,103,17,120,B103C17,Test24
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test47/graphs.pt,1,111,9,120,B111C9,Test47
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test40/graphs.pt,1,105,15,120,B105C15,Test40
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test49/graphs.pt,1,111,9,120,B111C9,Test49
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test25/graphs.pt,1,103,17,120,B103C17,Test25
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test22/graphs.pt,1,97,23,120,B97C23,Test22
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test14/graphs.pt,1,103,17,120,B103C17,Test14
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test13/graphs.pt,1,103,17,120,B103C17,Test13
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test4/graphs.pt,1,99,21,120,B99C21,Test4
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test3/graphs.pt,1,99,21,120,B99C21,Test3
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test2/graphs.pt,1,111,9,120,B111C9,Test2
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test5/graphs.pt,1,99,21,120,B99C21,Test5
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test31/graphs.pt,1,101,19,120,B101C19,Test31
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test36/graphs.pt,1,105,15,120,B105C15,Test36
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test38/graphs.pt,1,105,15,120,B105C15,Test38
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test53/graphs.pt,1,109,11,120,B109C11,Test53
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test54/graphs.pt,1,109,11,120,B109C11,Test54
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test62/graphs.pt,1,105,15,120,B105C15,Test62
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test65/graphs.pt,1,97,23,120,B97C23,Test65
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test39/graphs.pt,1,105,15,120,B105C15,Test39
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test37/graphs.pt,1,105,15,120,B105C15,Test37
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test30/graphs.pt,1,101,19,120,B101C19,Test30
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test64/graphs.pt,1,103,17,120,B103C17,Test64
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test63/graphs.pt,1,113,7,120,B113C7,Test63
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test55/graphs.pt,1,109,11,120,B109C11,Test55
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test52/graphs.pt,1,111,9,120,B111C9,Test52
