root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test3/graphs.pt,1,99,21,120,B99C21,Test3
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test6/graphs.pt,1,99,21,120,B99C21,Test6
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,30 atoms/S_137456/graphs.pt,0,23,7,30,B23C7,S_137456
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,30 atoms/S_12392/graphs.pt,0,23,7,30,B23C7,S_12392
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test28/graphs.pt,1,101,19,120,B101C19,Test28
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test1/graphs.pt,1,109,11,120,B109C11,Test1
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test66/graphs.pt,1,97,23,120,B97C23,Test66
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,15 atoms/S_255687/graphs.pt,0,11,4,15,B11C4,S_255687
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test10/graphs.pt,1,99,21,120,B99C21,Test10
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test16/graphs.pt,1,103,17,120,B103C17,Test16
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test65/graphs.pt,1,97,23,120,B97C23,Test65
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test61/graphs.pt,1,97,23,120,B97C23,Test61
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test33/graphs.pt,1,101,19,120,B101C19,Test33
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,15 atoms/S_207148/graphs.pt,0,11,4,15,B11C4,S_207148
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test53/graphs.pt,1,109,11,120,B109C11,Test53
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test32/graphs.pt,1,101,19,120,B101C19,Test32
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test7/graphs.pt,1,99,21,120,B99C21,Test7
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,60 atoms/S_106138/graphs.pt,0,45,15,60,B45C15,S_106138
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test31/graphs.pt,1,101,19,120,B101C19,Test31
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test49/graphs.pt,1,111,9,120,B111C9,Test49
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test52/graphs.pt,1,111,9,120,B111C9,Test52
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test47/graphs.pt,1,111,9,120,B111C9,Test47
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test48/graphs.pt,1,111,9,120,B111C9,Test48
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test41/graphs.pt,1,105,15,120,B105C15,Test41
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test9/graphs.pt,1,99,21,120,B99C21,Test9
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test14/graphs.pt,1,103,17,120,B103C17,Test14
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test22/graphs.pt,1,97,23,120,B97C23,Test22
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test37/graphs.pt,1,105,15,120,B105C15,Test37
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,120 atoms/S_123727/graphs.pt,0,101,19,120,B101C19,S_123727
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test19/graphs.pt,1,113,7,120,B113C7,Test19
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test15/graphs.pt,1,103,17,120,B103C17,Test15
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,120 atoms/S_116579/graphs.pt,0,101,19,120,B101C19,S_116579
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test27/graphs.pt,1,101,19,120,B101C19,Test27
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,60 atoms/S_136279/graphs.pt,0,45,15,60,B45C15,S_136279
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test64/graphs.pt,1,103,17,120,B103C17,Test64
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test51/graphs.pt,1,111,9,120,B111C9,Test51
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test2/graphs.pt,1,111,9,120,B111C9,Test2
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test38/graphs.pt,1,105,15,120,B105C15,Test38
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test67/graphs.pt,1,97,23,120,B97C23,Test67
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test20/graphs.pt,1,103,17,120,B103C17,Test20
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test5/graphs.pt,1,99,21,120,B99C21,Test5
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test68/graphs.pt,1,97,23,120,B97C23,Test68
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test69/graphs.pt,1,107,13,120,B107C13,Test69
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test39/graphs.pt,1,105,15,120,B105C15,Test39
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test21/graphs.pt,1,97,23,120,B97C23,Test21
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test46/graphs.pt,1,111,9,120,B111C9,Test46
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test36/graphs.pt,1,105,15,120,B105C15,Test36
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test59/graphs.pt,1,97,23,120,B97C23,Test59
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test55/graphs.pt,1,109,11,120,B109C11,Test55
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,15 atoms/S_138297/graphs.pt,0,11,4,15,B11C4,S_138297
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test58/graphs.pt,1,109,11,120,B109C11,Test58
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,60 atoms/S_110819/graphs.pt,0,45,15,60,B45C15,S_110819
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test44/graphs.pt,1,107,13,120,B107C13,Test44
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test40/graphs.pt,1,105,15,120,B105C15,Test40
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test42/graphs.pt,1,105,15,120,B105C15,Test42
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test34/graphs.pt,1,101,19,120,B101C19,Test34
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test63/graphs.pt,1,113,7,120,B113C7,Test63
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test12/graphs.pt,1,99,21,120,B99C21,Test12
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/DFT_DATA,15 atoms/S_269328/graphs.pt,0,11,4,15,B11C4,S_269328
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test26/graphs.pt,1,101,19,120,B101C19,Test26
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test56/graphs.pt,1,109,11,120,B109C11,Test56
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test35/graphs.pt,1,105,15,120,B105C15,Test35
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test24/graphs.pt,1,103,17,120,B103C17,Test24
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test17/graphs.pt,1,103,17,120,B103C17,Test17
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test25/graphs.pt,1,103,17,120,B103C17,Test25
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test18/graphs.pt,1,103,17,120,B103C17,Test18
/Users/mac/Documents/Projects/fiver/GNN_private_latest/data/Data_eq,Test45/graphs.pt,1,107,13,120,B107C13,Test45
