root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
D:\Sara\All_DFT_Data\Test_Data,Test1/graphs.pt,1,12,3,15,B12C3,Test1
D:\Sara\All_DFT_Data\Test_Data,Test10/graphs.pt,1,27,3,30,B27C3,Test10
D:\Sara\All_DFT_Data\Test_Data,Test100/graphs.pt,1,105,15,120,B105C15,Test100
D:\Sara\All_DFT_Data\Test_Data,Test11/graphs.pt,1,45,15,60,B45C15,Test11
D:\Sara\All_DFT_Data\Test_Data,Test12/graphs.pt,1,12,3,15,B12C3,Test12
D:\Sara\All_DFT_Data\Test_Data,Test13/graphs.pt,1,51,9,60,B51C9,Test13
D:\Sara\All_DFT_Data\Test_Data,Test14/graphs.pt,1,12,3,15,B12C3,Test14
D:\Sara\All_DFT_Data\Test_Data,Test15/graphs.pt,1,13,2,15,B13C2,Test15
D:\Sara\All_DFT_Data\Test_Data,Test16/graphs.pt,1,13,2,15,B13C2,Test16
D:\Sara\All_DFT_Data\Test_Data,Test17/graphs.pt,1,13,2,15,B13C2,Test17
D:\Sara\All_DFT_Data\Test_Data,Test18/graphs.pt,1,113,7,120,B113C7,Test18
D:\Sara\All_DFT_Data\Test_Data,Test19/graphs.pt,1,12,3,15,B12C3,Test19
D:\Sara\All_DFT_Data\Test_Data,Test2/graphs.pt,1,11,4,15,B11C4,Test2
D:\Sara\All_DFT_Data\Test_Data,Test20/graphs.pt,1,12,3,15,B12C3,Test20
D:\Sara\All_DFT_Data\Test_Data,Test21/graphs.pt,1,12,3,15,B12C3,Test21
D:\Sara\All_DFT_Data\Test_Data,Test22/graphs.pt,1,11,4,15,B11C4,Test22
D:\Sara\All_DFT_Data\Test_Data,Test23/graphs.pt,1,13,2,15,B13C2,Test23
D:\Sara\All_DFT_Data\Test_Data,Test24/graphs.pt,1,11,4,15,B11C4,Test24
D:\Sara\All_DFT_Data\Test_Data,Test25/graphs.pt,1,12,3,15,B12C3,Test25
D:\Sara\All_DFT_Data\Test_Data,Test26/graphs.pt,1,12,3,15,B12C3,Test26
D:\Sara\All_DFT_Data\Test_Data,Test27/graphs.pt,1,11,4,15,B11C4,Test27
D:\Sara\All_DFT_Data\Test_Data,Test28/graphs.pt,1,12,3,15,B12C3,Test28
D:\Sara\All_DFT_Data\Test_Data,Test29/graphs.pt,1,12,3,15,B12C3,Test29
D:\Sara\All_DFT_Data\Test_Data,Test3/graphs.pt,1,12,3,15,B12C3,Test3
D:\Sara\All_DFT_Data\Test_Data,Test30/graphs.pt,1,12,3,15,B12C3,Test30
D:\Sara\All_DFT_Data\Test_Data,Test31/graphs.pt,1,11,4,15,B11C4,Test31
D:\Sara\All_DFT_Data\Test_Data,Test32/graphs.pt,1,12,3,15,B12C3,Test32
D:\Sara\All_DFT_Data\Test_Data,Test33/graphs.pt,1,12,3,15,B12C3,Test33
D:\Sara\All_DFT_Data\Test_Data,Test34/graphs.pt,1,12,3,15,B12C3,Test34
D:\Sara\All_DFT_Data\Test_Data,Test35/graphs.pt,1,12,3,15,B12C3,Test35
D:\Sara\All_DFT_Data\Test_Data,Test36/graphs.pt,1,12,3,15,B12C3,Test36
D:\Sara\All_DFT_Data\Test_Data,Test37/graphs.pt,1,12,3,15,B12C3,Test37
D:\Sara\All_DFT_Data\Test_Data,Test38/graphs.pt,1,11,4,15,B11C4,Test38
D:\Sara\All_DFT_Data\Test_Data,Test39/graphs.pt,1,12,3,15,B12C3,Test39
D:\Sara\All_DFT_Data\Test_Data,Test4/graphs.pt,1,11,4,15,B11C4,Test4
D:\Sara\All_DFT_Data\Test_Data,Test40/graphs.pt,1,13,2,15,B13C2,Test40
