root_dir,graph_path,is_eq,n_B,n_C,n_atoms,composition,tag
D:\Sara\All_DFT_Data,15/B11C4_3/S_395181/graphs.pt,0,11,4,15,B11C4,S_395181
D:\Sara\All_DFT_Data,15/B11C4_1/S_77685/graphs.pt,0,11,4,15,B11C4,S_77685
D:\Sara\All_DFT_Data,15/B13C2_2/S_84941/graphs.pt,0,13,2,15,B13C2,S_84941
D:\Sara\All_DFT_Data,120/B105C15_1/S_48249/graphs.pt,0,105,15,120,B105C15,S_48249
D:\Sara\All_DFT_Data,120/B101C19_5/S_164784/graphs.pt,0,101,19,120,B101C19,S_164784
D:\Sara\All_DFT_Data,15/B13C2_1/S_290261/graphs.pt,0,13,2,15,B13C2,S_290261
D:\Sara\All_DFT_Data,120/B101C19_3/S_163158/graphs.pt,0,101,19,120,B101C19,S_163158
D:\Sara\All_DFT_Data,120/B99C21_1/S_200912/graphs.pt,0,99,21,120,B99C21,S_200912
D:\Sara\All_DFT_Data,15/B13C2_2/S_378607/graphs.pt,0,13,2,15,B13C2,S_378607
D:\Sara\All_DFT_Data,120/B111C9_5/S_3443/graphs.pt,0,111,9,120,B111C9,S_3443
D:\Sara\All_DFT_Data,30/B27C3_2/S_235777/graphs.pt,0,27,3,30,B27C3,S_235777
D:\Sara\All_DFT_Data,120/B103C17_4/S_368819/graphs.pt,0,103,17,120,B103C17,S_368819
D:\Sara\All_DFT_Data,60/B55C5_2/S_130231/graphs.pt,0,55,5,60,B55C5,S_130231
D:\Sara\All_DFT_Data,120/B101C19_1/S_188501/graphs.pt,0,101,19,120,B101C19,S_188501
D:\Sara\All_DFT_Data,30/B27C3_1/S_367928/graphs.pt,0,27,3,30,B27C3,S_367928
D:\Sara\All_DFT_Data,30/B25C5_2/S_125192/graphs.pt,0,25,5,30,B25C5,S_125192
D:\Sara\All_DFT_Data,60/B49C11_2/S_233122/graphs.pt,0,49,11,60,B49C11,S_233122
D:\Sara\All_DFT_Data,60/B53C7_1/S_186736/graphs.pt,0,53,7,60,B53C7,S_186736
D:\Sara\All_DFT_Data,120/B109C11_2/S_36772/graphs.pt,0,109,11,120,B109C11,S_36772
D:\Sara\All_DFT_Data\Test_Data,Test80/graphs.pt,1,11,4,15,B11C4,Test80
D:\Sara\All_DFT_Data,60/B51C9_5/S_12283/graphs.pt,0,51,9,60,B51C9,S_12283
D:\Sara\All_DFT_Data,60/B47C13_5/S_158079/graphs.pt,0,47,13,60,B47C13,S_158079
D:\Sara\All_DFT_Data,120/B105C15_4/S_268594/graphs.pt,0,105,15,120,B105C15,S_268594
D:\Sara\All_DFT_Data,120/B101C19_3/S_31212/graphs.pt,0,101,19,120,B101C19,S_31212
D:\Sara\All_DFT_Data,120/B109C11_2/S_237095/graphs.pt,0,109,11,120,B109C11,S_237095
D:\Sara\All_DFT_Data,30/B23C7_1/S_116406/graphs.pt,0,23,7,30,B23C7,S_116406
D:\Sara\All_DFT_Data,120/B113C7_5/S_19468/graphs.pt,0,113,7,120,B113C7,S_19468
D:\Sara\All_DFT_Data,60/B45C15_5/S_11150/graphs.pt,0,45,15,60,B45C15,S_11150
D:\Sara\All_DFT_Data,120/B97C23_5/S_30478/graphs.pt,0,97,23,120,B97C23,S_30478
D:\Sara\All_DFT_Data,60/B49C11_1/S_305998/graphs.pt,0,49,11,60,B49C11,S_305998
D:\Sara\All_DFT_Data,15/B13C2_2/S_344972/graphs.pt,0,13,2,15,B13C2,S_344972
D:\Sara\All_DFT_Data,120/B97C23_2/S_65707/graphs.pt,0,97,23,120,B97C23,S_65707
D:\Sara\All_DFT_Data,120/B109C11_3/S_310581/graphs.pt,0,109,11,120,B109C11,S_310581
D:\Sara\All_DFT_Data,120/B109C11_3/S_391309/graphs.pt,0,109,11,120,B109C11,S_391309
D:\Sara\All_DFT_Data,60/B49C11_3/S_189336/graphs.pt,0,49,11,60,B49C11,S_189336
D:\Sara\All_DFT_Data,30/B23C7_1/S_32237/graphs.pt,0,23,7,30,B23C7,S_32237
D:\Sara\All_DFT_Data,60/B55C5_2/S_266232/graphs.pt,0,55,5,60,B55C5,S_266232
D:\Sara\All_DFT_Data,120/B105C15_2/S_12511/graphs.pt,0,105,15,120,B105C15,S_12511
D:\Sara\All_DFT_Data,120/B103C17_5/S_96452/graphs.pt,0,103,17,120,B103C17,S_96452
D:\Sara\All_DFT_Data,30/B23C7_3/S_163968/graphs.pt,0,23,7,30,B23C7,S_163968
D:\Sara\All_DFT_Data,120/B99C21_2/S_107484/graphs.pt,0,99,21,120,B99C21,S_107484
D:\Sara\All_DFT_Data,120/B111C9_2/S_293980/graphs.pt,0,111,9,120,B111C9,S_293980
D:\Sara\All_DFT_Data,15/B11C4_4/S_72241/graphs.pt,0,11,4,15,B11C4,S_72241
D:\Sara\All_DFT_Data,120/B105C15_3/S_154899/graphs.pt,0,105,15,120,B105C15,S_154899
D:\Sara\All_DFT_Data,120/B105C15_2/S_20816/graphs.pt,0,105,15,120,B105C15,S_20816
D:\Sara\All_DFT_Data,60/B51C9_4/S_297347/graphs.pt,0,51,9,60,B51C9,S_297347
D:\Sara\All_DFT_Data,60/B55C5_3/S_24072/graphs.pt,0,55,5,60,B55C5,S_24072
D:\Sara\All_DFT_Data,120/B105C15_3/S_161038/graphs.pt,0,105,15,120,B105C15,S_161038
D:\Sara\All_DFT_Data,15/B12C3_5/S_35623/graphs.pt,0,12,3,15,B12C3,S_35623
D:\Sara\All_DFT_Data,30/B23C7_2/S_203204/graphs.pt,0,23,7,30,B23C7,S_203204
D:\Sara\All_DFT_Data,120/B97C23_2/S_278162/graphs.pt,0,97,23,120,B97C23,S_278162
D:\Sara\All_DFT_Data,30/B27C3_4/S_9099/graphs.pt,0,27,3,30,B27C3,S_9099
D:\Sara\All_DFT_Data\Test_Data,Test64/graphs.pt,1,101,19,120,B101C19,Test64
D:\Sara\All_DFT_Data,60/B49C11_5/S_252577/graphs.pt,0,49,11,60,B49C11,S_252577
D:\Sara\All_DFT_Data,120/B101C19_5/S_63853/graphs.pt,0,101,19,120,B101C19,S_63853
D:\Sara\All_DFT_Data,120/B113C7_5/S_267217/graphs.pt,0,113,7,120,B113C7,S_267217
D:\Sara\All_DFT_Data\Test_Data,Test70/graphs.pt,1,113,7,120,B113C7,Test70
D:\Sara\All_DFT_Data\Test_Data,Test12/graphs.pt,1,12,3,15,B12C3,Test12
D:\Sara\All_DFT_Data,15/B12C3_4/S_299294/graphs.pt,0,12,3,15,B12C3,S_299294
D:\Sara\All_DFT_Data,60/B55C5_1/S_233076/graphs.pt,0,55,5,60,B55C5,S_233076
D:\Sara\All_DFT_Data,120/B113C7_5/S_26893/graphs.pt,0,113,7,120,B113C7,S_26893
D:\Sara\All_DFT_Data,120/B101C19_2/S_262711/graphs.pt,0,101,19,120,B101C19,S_262711
D:\Sara\All_DFT_Data,60/B55C5_1/S_93529/graphs.pt,0,55,5,60,B55C5,S_93529
D:\Sara\All_DFT_Data,60/B49C11_2/S_93415/graphs.pt,0,49,11,60,B49C11,S_93415
D:\Sara\All_DFT_Data,120/B97C23_5/S_233875/graphs.pt,0,97,23,120,B97C23,S_233875
D:\Sara\All_DFT_Data,60/B45C15_1/S_324271/graphs.pt,0,45,15,60,B45C15,S_324271
D:\Sara\All_DFT_Data,30/B25C5_4/S_144590/graphs.pt,0,25,5,30,B25C5,S_144590
D:\Sara\All_DFT_Data,15/B11C4_3/S_227142/graphs.pt,0,11,4,15,B11C4,S_227142
D:\Sara\All_DFT_Data,120/B103C17_2/S_204003/graphs.pt,0,103,17,120,B103C17,S_204003
D:\Sara\All_DFT_Data,60/B51C9_3/S_179309/graphs.pt,0,51,9,60,B51C9,S_179309
D:\Sara\All_DFT_Data,120/B109C11_2/S_305494/graphs.pt,0,109,11,120,B109C11,S_305494
D:\Sara\All_DFT_Data,60/B55C5_5/S_123629/graphs.pt,0,55,5,60,B55C5,S_123629
D:\Sara\All_DFT_Data,30/B23C7_5/S_267088/graphs.pt,0,23,7,30,B23C7,S_267088
D:\Sara\All_DFT_Data,60/B53C7_1/S_141236/graphs.pt,0,53,7,60,B53C7,S_141236
D:\Sara\All_DFT_Data,120/B99C21_2/S_343922/graphs.pt,0,99,21,120,B99C21,S_343922
D:\Sara\All_DFT_Data,60/B45C15_1/S_64356/graphs.pt,0,45,15,60,B45C15,S_64356
D:\Sara\All_DFT_Data,60/B45C15_2/S_208668/graphs.pt,0,45,15,60,B45C15,S_208668
D:\Sara\All_DFT_Data,60/B55C5_5/S_25300/graphs.pt,0,55,5,60,B55C5,S_25300
D:\Sara\All_DFT_Data,120/B97C23_2/S_207490/graphs.pt,0,97,23,120,B97C23,S_207490
D:\Sara\All_DFT_Data,120/B113C7_4/S_324770/graphs.pt,0,113,7,120,B113C7,S_324770
D:\Sara\All_DFT_Data,120/B99C21_1/S_331128/graphs.pt,0,99,21,120,B99C21,S_331128
D:\Sara\All_DFT_Data,120/B103C17_4/S_70354/graphs.pt,0,103,17,120,B103C17,S_70354
D:\Sara\All_DFT_Data,60/B47C13_3/S_1110/graphs.pt,0,47,13,60,B47C13,S_1110
D:\Sara\All_DFT_Data,120/B113C7_2/S_104747/graphs.pt,0,113,7,120,B113C7,S_104747
D:\Sara\All_DFT_Data\Test_Data,Test51/graphs.pt,1,13,2,15,B13C2,Test51
D:\Sara\All_DFT_Data,15/B13C2_2/S_19475/graphs.pt,0,13,2,15,B13C2,S_19475
D:\Sara\All_DFT_Data,60/B49C11_5/S_355739/graphs.pt,0,49,11,60,B49C11,S_355739
D:\Sara\All_DFT_Data,120/B107C13_1/S_386769/graphs.pt,0,107,13,120,B107C13,S_386769
D:\Sara\All_DFT_Data,120/B103C17_1/S_42233/graphs.pt,0,103,17,120,B103C17,S_42233
D:\Sara\All_DFT_Data,15/B11C4_2/S_220171/graphs.pt,0,11,4,15,B11C4,S_220171
D:\Sara\All_DFT_Data,120/B113C7_4/S_114539/graphs.pt,0,113,7,120,B113C7,S_114539
D:\Sara\All_DFT_Data,15/B11C4_2/S_369689/graphs.pt,0,11,4,15,B11C4,S_369689
D:\Sara\All_DFT_Data,120/B99C21_5/S_372349/graphs.pt,0,99,21,120,B99C21,S_372349
D:\Sara\All_DFT_Data,120/B99C21_3/S_219689/graphs.pt,0,99,21,120,B99C21,S_219689
D:\Sara\All_DFT_Data,15/B14C_4/S_159463/graphs.pt,0,14,1,15,B14C1,S_159463
D:\Sara\All_DFT_Data,15/B13C2_4/S_385349/graphs.pt,0,13,2,15,B13C2,S_385349
D:\Sara\All_DFT_Data,30/B25C5_3/S_394216/graphs.pt,0,25,5,30,B25C5,S_394216
D:\Sara\All_DFT_Data,120/B107C13_2/S_209756/graphs.pt,0,107,13,120,B107C13,S_209756
D:\Sara\All_DFT_Data,120/B105C15_1/S_251293/graphs.pt,0,105,15,120,B105C15,S_251293
D:\Sara\All_DFT_Data,120/B101C19_4/S_240852/graphs.pt,0,101,19,120,B101C19,S_240852
D:\Sara\All_DFT_Data,30/B25C5_2/S_237880/graphs.pt,0,25,5,30,B25C5,S_237880
D:\Sara\All_DFT_Data,30/B23C7_2/S_151445/graphs.pt,0,23,7,30,B23C7,S_151445
D:\Sara\All_DFT_Data,60/B49C11_5/S_140494/graphs.pt,0,49,11,60,B49C11,S_140494
D:\Sara\All_DFT_Data,60/B47C13_4/S_172985/graphs.pt,0,47,13,60,B47C13,S_172985
D:\Sara\All_DFT_Data,30/B25C5_4/S_79606/graphs.pt,0,25,5,30,B25C5,S_79606
D:\Sara\All_DFT_Data,60/B51C9_4/S_54739/graphs.pt,0,51,9,60,B51C9,S_54739
D:\Sara\All_DFT_Data,120/B101C19_5/S_373768/graphs.pt,0,101,19,120,B101C19,S_373768
D:\Sara\All_DFT_Data,120/B107C13_2/S_78383/graphs.pt,0,107,13,120,B107C13,S_78383
D:\Sara\All_DFT_Data,30/B27C3_5/S_294948/graphs.pt,0,27,3,30,B27C3,S_294948
D:\Sara\All_DFT_Data,30/B27C3_3/S_88225/graphs.pt,0,27,3,30,B27C3,S_88225
D:\Sara\All_DFT_Data,120/B105C15_1/S_168731/graphs.pt,0,105,15,120,B105C15,S_168731
D:\Sara\All_DFT_Data,120/B111C9_3/S_325477/graphs.pt,0,111,9,120,B111C9,S_325477
D:\Sara\All_DFT_Data,120/B103C17_5/S_225758/graphs.pt,0,103,17,120,B103C17,S_225758
D:\Sara\All_DFT_Data,120/B109C11_2/S_57829/graphs.pt,0,109,11,120,B109C11,S_57829
D:\Sara\All_DFT_Data,30/B25C5_4/S_376363/graphs.pt,0,25,5,30,B25C5,S_376363
D:\Sara\All_DFT_Data,120/B105C15_1/S_249036/graphs.pt,0,105,15,120,B105C15,S_249036
D:\Sara\All_DFT_Data,15/B11C4_1/S_23543/graphs.pt,0,11,4,15,B11C4,S_23543
D:\Sara\All_DFT_Data,120/B105C15_5/S_359859/graphs.pt,0,105,15,120,B105C15,S_359859
D:\Sara\All_DFT_Data,60/B49C11_2/S_59139/graphs.pt,0,49,11,60,B49C11,S_59139
D:\Sara\All_DFT_Data,60/B49C11_2/S_221704/graphs.pt,0,49,11,60,B49C11,S_221704
D:\Sara\All_DFT_Data,15/B11C4_2/S_381873/graphs.pt,0,11,4,15,B11C4,S_381873
D:\Sara\All_DFT_Data,120/B101C19_1/S_381665/graphs.pt,0,101,19,120,B101C19,S_381665
D:\Sara\All_DFT_Data,60/B55C5_5/S_65235/graphs.pt,0,55,5,60,B55C5,S_65235
D:\Sara\All_DFT_Data,60/B53C7_1/S_103129/graphs.pt,0,53,7,60,B53C7,S_103129
D:\Sara\All_DFT_Data,30/B23C7_4/S_7671/graphs.pt,0,23,7,30,B23C7,S_7671
D:\Sara\All_DFT_Data,120/B111C9_2/S_34310/graphs.pt,0,111,9,120,B111C9,S_34310
D:\Sara\All_DFT_Data,120/B107C13_5/S_3830/graphs.pt,0,107,13,120,B107C13,S_3830
D:\Sara\All_DFT_Data\Test_Data,Test59/graphs.pt,1,12,3,15,B12C3,Test59
D:\Sara\All_DFT_Data,30/B25C5_5/S_167099/graphs.pt,0,25,5,30,B25C5,S_167099
D:\Sara\All_DFT_Data,120/B107C13_2/S_99952/graphs.pt,0,107,13,120,B107C13,S_99952
